track_id,x,y,state_id,p_x,p_y
1000,0.750000,0.790000,0,1.000000,0.000000
1001,2.289250,0.724075,0,-0.737369,0.675490
1002,3.627001,0.622880,0,0.087426,-0.996171
1003,5.016677,0.634666,0,0.608439,0.793601
1004,6.594470,0.742167,1,-0.984713,-0.174182
1005,8.071864,0.787893,1,0.843755,-0.536728
1006,9.387011,0.704856,1,-0.259604,0.965715
1007,10.844368,0.614705,1,-0.460907,-0.887448
1008,0.827325,2.029511,0,0.939321,0.343039
1009,2.235707,2.138284,0,-0.924346,0.381556
1010,3.563474,2.161670,0,0.423846,-0.905734
1011,5.086590,2.065410,0,0.299284,0.954164
1012,6.639981,1.990524,1,-0.865211,-0.501408
1013,7.990223,2.046721,1,0.976676,-0.214719
1014,9.362538,2.151672,1,-0.575129,0.818062
1015,10.932315,2.151623,1,-0.128511,-0.991708
1016,0.829135,3.426647,0,0.764649,0.644447
1017,2.147293,3.370533,0,-0.999146,0.041318
1018,3.584448,3.445489,0,0.708829,-0.705380
1019,5.169600,3.541704,0,-0.046191,0.998933
1020,6.597617,3.518223,1,-0.640709,-0.767784
1021,7.918130,3.409445,1,0.991069,0.133347
1022,9.423480,3.374731,1,-0.820858,0.571132
1023,10.988704,3.464936,1,0.219481,-0.975617
1024,0.753662,4.927910,0,0.497181,0.867647
1025,2.110352,4.882096,0,-0.952693,-0.303935
1026,3.669439,4.774611,0,0.907791,-0.419423
1027,5.184639,4.762921,0,-0.386061,0.922473
1028,6.508751,4.864152,1,-0.338452,-0.940984
1029,7.925991,4.930000,1,0.885189,0.465231
1030,9.510321,4.863998,1,-0.966970,0.254890
1031,10.958465,4.762839,1,0.540838,-0.841127
1032,0.674614,6.154721,0,0.169376,0.985551
1033,2.160961,6.262237,0,-0.790623,-0.612303
1034,3.735446,6.307876,0,0.996586,-0.082565
1035,5.117020,6.224776,0,-0.679079,0.734065
1036,6.460168,6.134680,1,0.004878,-0.999988
1037,8.006128,6.169578,1,0.671885,0.740655
1038,9.538253,6.278345,1,-0.995733,-0.092284
1039,10.871130,6.301637,1,0.796559,-0.604560
1040,0.669187,7.585331,0,-0.178984,0.983852
1041,2.249695,7.510515,0,-0.532606,-0.846364
1042,3.718008,7.566795,0,0.964437,0.264312
1043,5.032780,7.671720,0,-0.889686,0.456572
1044,6.499314,7.671575,1,0.347617,-0.937637
1045,8.080281,7.566572,1,0.377043,0.926196
1046,9.479998,7.510541,1,-0.903656,-0.428259
1047,10.811989,7.585567,1,0.955613,-0.294626
